title,structure,focus,contact,basedIn,actingIn,OT:Tech for Good,OT:Funder,OT:Education,OT:Human Rights,OT:Research,OT:Other,DF:Access to Justice,DF:Citizenship,DF:Free Press / Exp,DF:Identity Provision,DF:Marg Rights,DF:Net Neutrality,DF:O Govt / Transp,DF:Participate / Vote ,DF:Privacy / Security,DF:Transparent £,DF:Broad / Other,DF:N/A,TF:AI,TF:App / DAPP / Web,TF:Block / Arch,TF:Crowd / Map,TF:Exp Use / Educate,TF:Open Source,TF:Tech Fund,TF:Telephony,TF:Online Learn,TF:Broad / Other,TF:N/A,about,activities,notes,url
The Centre for the Study of Existential Risk,University,Tech / Democracy,admin@cser.org,"Cambridge, UK",Global,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Now is an important time for efforts to reduce existential risk. There are new and largely unstudied risks associated with powerful emerging technologies and the impacts of human activity, which in the worst case might pose existential risks. We want to reap the enormous benefits of technological progress while safely navigating these catastrophic pitfalls. These threaten everyone – we can only tackle them together.",,,https://www.cser.ac.uk/
Research ICT Africa,Not For Profit,Tech / Democracy,admin@researchictafrica.net,"Cape Town, South Africa",Africa,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"Research ICT Africa conducts public-interest research on the digital economy and society that responds to national, regional and continental needs. It provides relevant stakeholders with the information and analysis required to develop flexible and adaptive policies and regulation to  deal with an increasingly complex and dynamic digital environment. The network will contribute to the gathering and analysis of data and indicators to establish a repository of knowledge for furthering research and digital governance.",,,https://researchictafrica.net/
Civtech Scotland,Government,Tech / Democracy,civtech@gov.scot,"Edinburgh, Scotland, UK",Scotland,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,Bringing together public sector expertise and private sector creativity to solve real problems through co-production with the citizen.,"Solves public sector problems identified by citizens through working in partnership them, and with businesses and entrepreneurs to find technological solutions.",Part of Scottish Government's Digital Scotland initiative.,https://civtech.atlassian.net/wiki/spaces/CIV/overview?mode=global
Center for Long-Term Cybersecurity,University,Tech / Democracy,cltc@berkeley.edu,"Berkeley, USA",Global,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"the CLTC was established in 2015 as a research and collaboration hub at the University of California, Berkeley. Housed in the School of Information (I School), the Center will create an effective dialogue among industry, academia, policy, and practitioners, with an aim to foster research programs, technologies, and recommendations. CLTC’s work is founded on a future-oriented conceptualization of cybersecurity—what it could imply and mean for human beings, machines, and the societies that will depend on both.",,,https://cltc.berkeley.edu/about-us/
VoteSmart,Not For Profit,Tech / Democracy,comments@votesmart.org,"Des Moines, USA",USA,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,"Vote Smart's mission is to provide free, factual, unbiased information on candidates and elected officials to ALL Americans.",,,https://votesmart.org/about#.W_bF_JP7SRs
Global Forum for Media Development,Not For Profit,Tech / Democracy,communications@gfmd.info,Brussles,Global,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,"Global Forum for Media Development (GFMD), a not-for-profit, Belgian registered ASBL, is a network of journalism support and media assistance groups established in 2005 in Amman, Jordan. The GFMD’s core value is to support the creation and strengthening of journalism and free, independent, sustainable and pluralistic news ecosystems, as defined by the declarations of UNESCO at conferences in Windhoek, Almaty, Santiago de Chile, Sana’a and Sofia. Its main focus is to ensure proper collaboration as well as an exchange of information and experience among its members with a view to creating a strong, independent and pluralistic media environment, which contributes to the development of empowered societies. GFMD currently has an active membership of around 190 organisations in some 70 countries. Its secretariat is based in Brussels.",,,https://gfmd.info/
CIvic Tech for Democracy,Not For Profit,Tech / Democracy,contact@civictech4democracy.eu,Brussles,Global,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Democracy is a core value of the European Union. Digital technologies have brought a sea change to how citizens engage in political action. This is the reason why, this year, the EU wants to celebrate the dynamism and creativity of activists across the world who use or create digital tools to bring democracy closer to the people. Are you a Civic Tech innovator? Don’t miss the chance to showcase your ongoing or recent project to influential technologists, lawmakers, and fellow activists in Brussels, the capital of Europe! Submit your project now!",,,https://civictech4democracy.eu/the-supporting-democracy-project/
Code for All,Not For Profit,Tech / Democracy,contact@codeforall.org,Global,Global,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Code for All is an international network of organizations who believe that digital technology opens new channels for citizens to more meaningfully engage in the public sphere and have a positive impact on their communities. The Code for All network will organize, between 8-12 October 2018, one of the most important civic technology events in the world ”Code for All Summit: The Heroes of Tech”. The event, the first open doors Code for All summit, aims to showcase the common and individual work the member countries have done so far and to bring several important topics in the spotlight, through panels, debates and hands-on workshops.",,,https://codeforall.org
Coding Rights,Not For Profit,Tech / Democracy,contact@codingrights.org,Brazil,Global,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Coding Rights is a Brazil­-based women-­run organization working since 2015 to expose and redress the power imbalances built into technology and its application, particularly those which reinforce gender and North/South inequalities. We perform multidisciplinary research to hack public policy in order to reinforce human rights values into the usages of technologies. our main activities are: research, advocacy, strategic communications and storytelling, development of tech tools to help advocacy, development of methodologies for capacity building and training, community building and strategic planing",,,https://www.codingrights.org/about/
Datakind,Charity,Tech / Democracy,contact@datakind.org,Global,Global,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,,TRUE,,,FALSE,,,FALSE,,FALSE,TRUE,,FALSE,,,FALSE,Harnessing the power of data science in the service of humanity across the globe.,"Supports charities and SEs - DataDive weekends, DataCorps projects, Meetups, DataJams",T4G Academy partners? Est. 2013. UK based but works globally.,https://www.datakind.org/
